transaction_id,listing_id,client_id,transaction_date
3,399,75,2026-04-16
4,21,20,2026-04-09
5,390,28,2026-03-27
6,481,20,2025-06-19
7,39,72,2025-10-22
8,259,15,2026-03-01
9,412,8,2025-07-01
10,290,70,2025-08-24
11,272,40,2025-07-01
12,358,68,2026-07-29
13,402,52,2026-03-08
14,391,5,2025-09-19
15,319,22,2025-11-05
16,71,6,2025-07-14
17,376,58,2026-03-06
18,470,41,2025-09-26
19,118,8,2026-01-21
20,321,51,2025-10-25
21,442,28,2025-08-01
22,70,5,2026-02-06
23,98,59,2026-01-17
24,421,41,2026-02-06
25,295,54,2026-05-02
26,347,27,2026-05-20
27,459,7,2025-07-30
28,4,109,2026-02-02
29,302,115,2026-02-15
30,238,100,2026-02-20
31,430,114,2026-05-28
32,171,3,2025-09-17
33,54,100,2026-07-30
34,22,43,2025-10-16
35,55,46,2025-12-29
36,311,97,2025-12-05
37,100,45,2026-03-26
38,344,43,2025-10-20
39,77,50,2025-10-30
40,40,98,2025-08-01
41,304,99,2025-06-11
42,128,24,2026-02-07
43,143,74,2025-10-28
44,301,20,2025-11-27
45,64,40,2025-04-16
46,78,81,2025-11-05
47,429,57,2026-02-06
48,376,40,2025-11-22
49,375,8,2026-05-09
50,119,79,2025-09-23
51,398,76,2026-04-07
52,444,90,2026-07-29
53,204,52,2025-07-19
54,263,68,2026-02-07
55,371,7,2026-01-03
56,283,41,2026-01-02
57,475,29,2025-05-21
58,275,67,2026-03-25
59,52,29,2025-08-20
60,105,52,2025-10-18
61,226,12,2026-04-18
62,405,90,2026-01-04
63,274,2,2026-01-04
64,198,7,2025-06-01
65,294,5,2026-08-27
66,419,7,2026-01-21
67,199,12,2025-11-30
68,235,108,2026-04-10
69,348,98,2025-05-26
70,160,21,2026-03-06
71,108,3,2025-08-18
72,102,102,2025-06-13
73,1,46,2025-11-28
74,85,46,2025-11-29
75,331,97,2025-12-02
76,116,91,2026-03-03
77,338,109,2026-01-14
78,404,45,2025-12-27
79,9,108,2025-10-18
80,497,3,2025-10-08
81,77,33,2025-12-15
82,453,45,2025-07-28
