customer_id,age,gender,marital_status,education_level,region,employment_status,owns_home,has_auto_loan,annual_income,credit_score,credit_limit,tenure,card_type,num_transactions,avg_transaction_value,online_shopping_freq,reward_points_balance,travel_frequency,utility_payment_count,num_children,num_credit_cards
20451981,68,female,married,bachelors,west,self-employed,1,0,28736.958529154483,644.592406914519,6295.525826065555,17,standard,6,32.4440324281384,6.0,4360.785803209813,3,5.0,2,8
23251656,37,male,married,high school,northeast,student,0,1,177014.76245714008,683.0321628930825,39234.81295926072,14,platinum,17,30.65542891670473,18.0,18790.889745896628,7,7.0,3,8
64082260,65,female,married,bachelors,northeast,self-employed,0,0,51625.52286129173,692.0727052663852,10842.809736149364,1,standard,9,36.06388117087627,5.0,5625.669554787829,5,1.0,1,8
82505923,33,female,married,bachelors,northeast,self-employed,0,1,62667.564975297246,735.6004029310814,14833.58068666746,2,gold,12,28.833726771906715,11.0,6752.725038782969,1,4.0,3,8
89981994,23,male,single,bachelors,midwest,self-employed,1,0,84996.49229272637,732.3013743595718,21540.0059363448,7,gold,15,12.361808635928478,7.0,9154.34280035219,6,0.0,0,8
64973937,57,male,married,bachelors,midwest,student,0,1,42464.4081232428,560.8230917357365,8854.04306902656,14,standard,9,16.793293667402214,9.0,5733.072188339305,2,3.0,0,8
27610278,52,male,married,bachelors,south,employed,1,1,98811.64009455703,673.1738273888652,19159.87615065019,10,standard,27,35.94346209843779,11.0,11135.521130773015,6,8.0,1,8
35883083,38,male,married,graduate,south,student,0,1,49998.71535254009,688.1341291733188,11993.21809358862,5,standard,7,20.565086710865007,4.0,5821.759109533987,3,1.0,1,8
20490020,52,male,married,graduate,midwest,employed,0,0,28745.038367656107,675.3841798400033,7224.843411258626,13,standard,8,38.26688145628491,4.0,4292.765096342049,5,3.0,2,8
54517670,57,female,married,bachelors,northeast,student,0,0,17237.006628664767,607.5972169764775,3274.954753403736,11,standard,9,31.59992780893862,4.0,2961.96157637219,2,4.0,1,8
94359232,25,male,married,bachelors,northeast,self-employed,1,1,36360.36400697936,693.7021206800739,10285.621632722672,2,standard,10,28.93316699278173,11.0,4947.401709747696,0,1.0,3,8
17326886,64,male,married,high school,northeast,student,0,1,111129.31552262991,743.1888478542544,27490.939890205027,5,platinum,12,65.77583294716501,14.0,11756.185957606998,5,6.0,3,8
86594167,55,female,married,bachelors,midwest,student,0,0,100870.24169598208,716.4730890109626,24135.596000049656,4,gold,16,34.274396926719966,8.0,10921.9001235805,2,6.0,0,8
94873255,63,male,married,bachelors,midwest,employed,0,0,48735.86561127047,612.9289074614591,12623.15151020034,17,standard,10,32.96994274548434,5.0,6201.206687531119,3,2.0,1,8
62944765,37,female,married,graduate,west,self-employed,0,1,103035.87936087738,687.6377270336347,23566.46953741742,5,gold,21,52.90633731035054,,11675.8506986554,1,7.0,2,8
95482882,44,male,married,bachelors,midwest,unemployed,1,0,25069.71445580921,698.5985066698516,5061.147635690489,5,standard,8,39.06418933902611,7.0,3527.106173541269,2,3.0,1,8
